RK,NAME,TEAM,POS,GMS,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
61,Gardner Minshew II,JAX,QB,9,2259,16,5,153,1,1,0,0,0,0,0,0,17.7,159.66
62,Zach Cunningham,HOU,0,16,0,0,0,0,0,0,0,0,3,0,1,0,9.9,159.1
63,Ronald Jones II,TB,RB,14,0,0,0,978,7,28,165,1,0,0,0,0,11.3,158.3
64,Jaylon Smith,DAL,0,16,0,0,0,0,0,0,0,0,1.5,1,1,3,9.8,156.65
65,Robert Woods,LAR,WR,16,0,0,0,155,2,90,936,6,0,0,0,0,9.7,155.1
66,Mitchell Trubisky,CHI,QB,10,2055,16,8,195,1,0,0,0,0,0,0,0,15.4,153.7
67,Chase Claypool,PIT,WR,16,0,0,0,16,2,62,873,9,0,0,0,0,9.6,152.9
68,Ryan Fitzpatrick,MIA,QB,9,2091,13,8,151,2,1,0,0,0,0,0,0,17,152.74
69,Daniel Carlson,LV,0,16,0,0,0,0,0,0,0,0,0,0,0,0,9.5,152
70,Marvin Jones Jr.,DET,WR,16,0,0,0,0,0,76,978,9,0,0,0,0,9.5,151.8
71,Darius Leonard,IND,0,14,0,0,0,0,0,0,0,0,3,0,3,2,10.8,151.6
72,Deion Jones,ATL,0,16,0,0,0,0,0,0,0,0,4.5,2,2,1,9.5,151.35
73,Brandin Cooks,HOU,WR,15,0,0,0,0,0,81,1150,6,0,0,0,0,10.1,151
74,Indianapolis Colts,IND,0,16,0,0,0,0,0,0,0,0,40,15,14,11,9.4,151
75,Chris Carson,SEA,RB,12,0,0,0,681,5,37,287,4,0,0,0,0,12.6,150.8
76,J.K. Dobbins,BAL,RB,15,0,0,0,805,9,18,120,0,0,0,0,0,10,150.5
77,Pittsburgh Steelers,PIT,0,16,0,0,0,0,0,0,0,0,56,18,12,10,9.4,150
78,Tyler Bass,BUF,0,16,0,0,0,0,0,0,0,0,0,0,0,0,9.3,149
